Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count B1	Mutation names B1	Mutated peptide count B2	Mutation names B2	Mutated peptide count B3	Mutation names B3	Mutated peptide count H1	Mutation names H1	Mutated peptide count H2	Mutation names H2	Mutated peptide count H3	Mutation names H3	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides B1	Peptides B2	Peptides B3	Peptides H1	Peptides H2	Peptides H3	Razor + unique peptides B1	Razor + unique peptides B2	Razor + unique peptides B3	Razor + unique peptides H1	Razor + unique peptides H2	Razor + unique peptides H3	Unique peptides B1	Unique peptides B2	Unique peptides B3	Unique peptides H1	Unique peptides H2	Unique peptides H3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage B1 [%]	Sequence coverage B2 [%]	Sequence coverage B3 [%]	Sequence coverage H1 [%]	Sequence coverage H2 [%]	Sequence coverage H3 [%]	Intensity	Intensity B1	Intensity B2	Intensity B3	Intensity H1	Intensity H2	Intensity H3	LFQ intensity B1	LFQ intensity B2	LFQ intensity B3	LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	MS/MS count B1	MS/MS count B2	MS/MS count B3	MS/MS count H1	MS/MS count H2	MS/MS count H3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P11216|PYGB_HUMAN	sp|P11216|PYGB_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P11216|PYGB_HUMAN Glycogen phosphorylase, brain form OS=Homo sapiens OX=9606 GN=PYGB PE=1 SV=5	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1.5	1.5	1.5	96.695	843	843	0.0032841	5.8717	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				171	1170	True	1192	1814	1883	1883		
sp|P11279|LAMP1_HUMAN	sp|P11279|LAMP1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P11279|LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2.2	2.2	2.2	44.882	417	417	0	6.1146	0	0	0	0	2.2	0	394950	0	0	0	0	394950	0	0	0	0	0	34264	0	0	0	0	0	1	0	1				172	1587	True	1615	2436	2525	2525		
sp|P11413|G6PD_HUMAN	sp|P11413|G6PD_HUMAN	6	6	6	0		0		0		0		0		0		0		sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4	1	6	6	6	0	0	0	4	2	1	0	0	0	4	2	1	0	0	0	4	2	1	11.5	11.5	11.5	59.256	515	515	0	55.182	0	0	0	7.6	3.9	1.9	1521000	0	0	0	981910	539070	0	0	0	0	163260	0	0	0	0	0	4	3	1	8				173	572;1012;1029;1144;1568;1658	True;True;True;True;True;True	582;583;1032;1049;1166;1596;1686	876;877;1583;1584;1616;1773;2410;2534	905;906;1648;1649;1681;1841;2497;2625	905;1648;1681;1841;2497;2625	49	496
sp|P11586|C1TC_HUMAN	sp|P11586|C1TC_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=4	1	4	4	4	0	0	0	3	2	1	0	0	0	3	2	1	0	0	0	3	2	1	3.6	3.6	3.6	101.53	935	935	0	24.658	0	0	0	2.7	1.8	1	854770	0	0	0	394520	353630	106620	0	0	0	58271	38005	0	0	0	0	3	2	1	6				174	2;410;841;1706	True;True;True;True	2;417;855;1736	3;639;640;1306;2613;2614	3;661;662;1356;2709;2710	3;661;1356;2709		
sp|P11766|ADHX_HUMAN	sp|P11766|ADHX_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P11766|ADHX_HUMAN Alcohol dehydrogenase class-3 OS=Homo sapiens OX=9606 GN=ADH5 PE=1 SV=4	1	2	2	2	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	4.5	4.5	4.5	39.724	374	374	0	11.556	0	0	0	2.1	0	2.4	172450	0	0	0	102100	0	70352	0	0	0	16977	0	0	0	0	0	1	0	1	2				175	656;1058	True;True	667;1078	1002;1660	1033;1725	1033;1725		
sp|P60891|PRPS1_HUMAN;sp|P21108|PRPS3_HUMAN;sp|P11908|PRPS2_HUMAN	sp|P60891|PRPS1_HUMAN;sp|P21108|PRPS3_HUMAN;sp|P11908|PRPS2_HUMAN	1;1;1	1;1;1	1;1;1	0		0		0		0		0		0		0		sp|P60891|PRPS1_HUMAN Ribose-phosphate pyrophosphokinase 1 OS=Homo sapiens OX=9606 GN=PRPS1 PE=1 SV=2;sp|P21108|PRPS3_HUMAN Ribose-phosphate pyrophosphokinase 3 OS=Homo sapiens OX=9606 GN=PRPS1L1 PE=1 SV=2;sp|P11908|PRPS2_HUMAN Ribose-phosphate pyrophospho	3	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5.3	5.3	5.3	34.834	318	318;318;318	0	14.738	0	0	0	5.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				176	1780	True	1811	2735	2836	2836		
sp|P11940|PABP1_HUMAN;sp|Q9H361|PABP3_HUMAN;sp|Q13310|PABP4_HUMAN;sp|Q4VXU2|PAP1L_HUMAN	sp|P11940|PABP1_HUMAN;sp|Q9H361|PABP3_HUMAN;sp|Q13310|PABP4_HUMAN	4;3;2;1	4;3;2;1	4;3;2;1	0		0		0		0		0		0		0		sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;sp|Q9H361|PABP3_HUMAN Polyadenylate-binding protein 3 OS=Homo sapiens OX=9606 GN=PABPC3 PE=1 SV=2;sp|Q13310|PABP4_HUMAN Polyadenylate-binding protein 4 OS=Hom	4	4	4	4	0	0	0	2	2	1	0	0	0	2	2	1	0	0	0	2	2	1	5.3	5.3	5.3	70.67	636	636;631;644;614	0	25.744	0	0	0	3.1	2.2	2.2	1291900	0	0	0	374170	710540	207160	0	0	0	0	61642	0	0	0	0	2	2	1	5				177	348;775;1153;1209	True;True;True;True	354;789;1175;1231	548;1209;1210;1786;1866	567;1256;1257;1258;1854;1936	567;1257;1854;1936		
sp|P12004|PCNA_HUMAN	sp|P12004|PCNA_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P12004|PCNA_HUMAN Proliferating cell nuclear antigen OS=Homo sapiens OX=9606 GN=PCNA PE=1 SV=1	1	2	2	2	0	0	0	1	1	2	0	0	0	1	1	2	0	0	0	1	1	2	10	10	10	28.768	261	261	0	14.594	0	0	0	4.2	5.7	10	667070	0	0	0	133340	0	533730	0	0	0	0	0	85201	0	0	0	1	1	2	4				178	183;265	True;True	186;270	305;306;422;423	317;318;440;441	318;441		
sp|P49590|SYHM_HUMAN;sp|P12081|HARS1_HUMAN	sp|P49590|SYHM_HUMAN;sp|P12081|HARS1_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|P49590|SYHM_HUMAN Histidine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=HARS2 PE=1 SV=1;sp|P12081|HARS1_HUMAN Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=HARS1 PE=1 SV=2	2	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1.8	1.8	1.8	56.888	506	506;509	0	6.7705	0	0	0	1.8	0	0	153720	0	0	0	153720	0	0	0	0	0	25560	0	0	0	0	0	1	0	0	1				179	1792	True	1823	2751	2852	2852		
sp|P12268|IMDH2_HUMAN	sp|P12268|IMDH2_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P12268|IMDH2_HUMAN Inosine-5-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2	1	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	5.6	5.6	5.6	55.804	514	514	0	12.317	0	0	0	3.5	2.1	0	409740	0	0	0	172930	236810	0	0	0	0	28753	0	0	0	0	0	1	1	0	2				180	1156;1573	True;True	1178;1601	1790;2419	1858;2508	1858;2508		
sp|P12429|ANXA3_HUMAN	sp|P12429|ANXA3_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|P12429|ANXA3_HUMAN Annexin A3 OS=Homo sapiens OX=9606 GN=ANXA3 PE=1 SV=3	1	4	4	4	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	13.9	13.9	13.9	36.375	323	323	0	23.288	0	0	0	6.2	7.7	5.6	849690	0	0	0	180080	415740	253870	0	0	0	0	0	40526	0	0	0	2	2	2	6				181	94;250;502;1188	True;True;True;True	96;255;511;1210	160;161;162;404;777;1839	162;163;164;422;803;1909	163;422;803;1909		
sp|P12757|SKIL_HUMAN	sp|P12757|SKIL_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P12757|SKIL_HUMAN Ski-like protein OS=Homo sapiens OX=9606 GN=SKIL PE=1 SV=2	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.6	1.6	1.6	76.975	684	684	1	-2	0	0	0	0	1.6	0	12124	0	0	0	0	12124	0	0	0	0	0	1051.8	0	0	0	0	0	0	0	0	+			182	326	True	332	519	538	538	50;51	666;667
sp|P12814|ACTN1_HUMAN	sp|P12814|ACTN1_HUMAN	14	5	5	0		0		0		0		0		0		0		sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	1	14	5	5	0	0	0	8	8	5	0	0	0	5	1	1	0	0	0	5	1	1	19.5	7.3	7.3	103.06	892	892	0	120.19	0	0	0	11.8	10	7.1	1929100	0	0	0	1929100	0	0	0	0	0	320760	0	0	0	0	0	5	1	1	7				183	59;75;82;137;237;353;440;597;726;840;969;1101;1510;1535	True;False;False;False;True;False;False;False;True;True;False;True;False;False	61;77;84;140;241;359;447;608;739;854;989;1123;1537;1562	99;127;128;140;141;228;229;230;388;556;680;914;1120;1303;1304;1305;1519;1714;2318;2319;2358	101;129;130;142;143;233;234;235;236;404;575;702;944;1163;1353;1354;1355;1581;1780;2399;2400;2440	101;129;143;234;404;575;702;944;1163;1354;1581;1780;2400;2440	14	239
sp|P12956|XRCC6_HUMAN	sp|P12956|XRCC6_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P12956|XRCC6_HUMAN X-ray repair cross-complementing protein 6 OS=Homo sapiens OX=9606 GN=XRCC6 PE=1 SV=2	1	3	3	3	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	2	2	0	5.1	5.1	5.1	69.842	609	609	0	21.16	0	0	0	3.6	3.6	0	153290	0	0	0	153290	0	0	0	0	0	25487	0	0	0	0	0	2	2	0	4				184	1232;1247;1643	True;True;True	1254;1269;1671	1899;1919;1920;2516	1969;1989;1990;2607	1969;1989;2607		
sp|P13010|XRCC5_HUMAN	sp|P13010|XRCC5_HUMAN	5	5	5	0		0		0		0		0		0		0		sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3	1	5	5	5	0	0	0	3	2	2	0	0	0	3	2	2	0	0	0	3	2	2	7.7	7.7	7.7	82.704	732	732	0	77.656	0	0	0	4.8	4.4	4.2	1887500	0	0	0	423900	943350	520260	0	0	0	0	0	83051	0	0	0	3	2	2	7				185	282;341;607;790;1809	True;True;True;True;True	288;347;618;804;1841	451;541;930;1226;1227;1228;2781	469;560;960;1274;1275;1276;2882	469;560;960;1274;2882		
sp|P13473|LAMP2_HUMAN	sp|P13473|LAMP2_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P13473|LAMP2_HUMAN Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens OX=9606 GN=LAMP2 PE=1 SV=2	1	2	2	2	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	4.1	4.1	4.1	44.96	410	410	0	17.802	0	0	0	2	4.1	0	708970	0	0	0	332450	376510	0	0	0	0	0	32664	0	0	0	0	1	2	0	3				186	198;734	True;True	201;747	330;1131;1132	343;1176;1177	343;1177		
sp|P13489|RINI_HUMAN	sp|P13489|RINI_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P13489|RINI_HUMAN Ribonuclease inhibitor OS=Homo sapiens OX=9606 GN=RNH1 PE=1 SV=2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	2	2	49.973	461	461	0.0017513	5.9526	0	0	0	0	0	2	52860	0	0	0	0	0	52860	0	0	0	0	0	8438.3	0	0	0	0	0	1	1				187	256	True	261	411	429	429		
sp|P13639|EF2_HUMAN;sp|Q15029|U5S1_HUMAN	sp|P13639|EF2_HUMAN	10;1	10;1	10;1	0		0		0		0		0		0		0		sp|P13639|EF2_HUMAN Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4	2	10	10	10	0	0	0	5	5	2	0	0	0	5	5	2	0	0	0	5	5	2	12.1	12.1	12.1	95.337	858	858;972	0	69.466	0	0	0	6.8	5.7	2.4	3290200	0	0	0	866720	2193800	229720	0	0	0	144110	0	0	0	0	0	5	3	2	10				188	52;260;529;724;818;1164;1326;1370;1721;1801	True;True;True;True;True;True;True;True;True;True	53;265;538;737;832;1186;1350;1395;1751;1833	82;416;417;814;1118;1265;1804;1805;2040;2102;2642;2772	84;434;435;840;1161;1314;1873;1874;2115;2181;2741;2873	84;434;840;1161;1314;1873;2115;2181;2741;2873		
sp|Q56UQ5|TPT1L_HUMAN;sp|P13693|TCTP_HUMAN	sp|Q56UQ5|TPT1L_HUMAN;sp|P13693|TCTP_HUMAN	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|Q56UQ5|TPT1L_HUMAN TPT1-like protein OS=Homo sapiens OX=9606 PE=2 SV=2;sp|P13693|TCTP_HUMAN Translationally-controlled tumor protein OS=Homo sapiens OX=9606 GN=TPT1 PE=1 SV=1	2	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	9.3	9.3	9.3	15.757	140	140;172	0.0017182	5.9207	0	0	0	9.3	0	0	158230	0	0	0	158230	0	0	0	0	0	26309	0	0	0	0	0	0	0	0	0				189	1686	True	1714	2576	2670	2670		
sp|P13797|PLST_HUMAN;sp|P13796|PLSL_HUMAN;sp|Q14651|PLSI_HUMAN	sp|P13797|PLST_HUMAN	5;1;1	5;1;1	5;1;1	0		0		0		0		0		0		0		sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4	3	5	5	5	0	0	0	3	4	0	0	0	0	3	4	0	0	0	0	3	4	0	9.4	9.4	9.4	70.81	630	630;627;629	0	61.673	0	0	0	4.4	8.3	0	2599200	0	0	0	302900	2296300	0	0	0	0	0	199220	0	0	0	0	4	5	0	9				190	179;730;884;1621;1788	True;True;True;True;True	182;743;901;1649;1819	299;300;1125;1126;1378;2489;2747	311;312;1168;1169;1170;1171;1434;2580;2848	311;1170;1434;2580;2848		
sp|P13987|CD59_HUMAN	sp|P13987|CD59_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P13987|CD59_HUMAN CD59 glycoprotein OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1	1	2	2	2	0	1	0	2	1	2	0	1	0	2	1	2	0	1	0	2	1	2	15.6	15.6	15.6	14.177	128	128	0	12.448	0	6.2	0	15.6	6.2	15.6	742560	0	100230	0	163510	0	478820	0	0	0	0	0	76437	0	0	0	2	1	2	5				191	55;999	True;True	56;1019	88;89;90;91;1558;1559	90;91;92;93;1622;1623	92;1623		
sp|P14314|GLU2B_HUMAN	sp|P14314|GLU2B_HUMAN	4	4	4	0		0		0		0		0		0		0		sp|P14314|GLU2B_HUMAN Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2	1	4	4	4	0	0	0	2	1	2	0	0	0	2	1	2	0	0	0	2	1	2	12.9	12.9	12.9	59.425	528	528	0	23.374	0	0	0	2.8	6.1	5.5	846610	0	0	0	189140	191720	465740	0	0	0	0	0	74348	0	0	0	2	1	2	5				192	240;711;903;919	True;True;True;True	244;724;922;938	391;1098;1422;1442;1443	407;1140;1482;1502;1503	407;1140;1482;1503		
sp|P14324|FPPS_HUMAN	sp|P14324|FPPS_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P14324|FPPS_HUMAN Farnesyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=4	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	2.9	2.9	2.9	48.275	419	419	0	13.394	0	0	0	2.9	2.9	0	929210	0	0	0	563340	365870	0	0	0	0	0	31741	0	0	0	0	1	1	0	2				193	1225	True	1247	1886;1887	1956;1957	1956		
sp|P14618|KPYM_HUMAN	sp|P14618|KPYM_HUMAN	12	12	12	0		0		0		0		0		0		0		sp|P14618|KPYM_HUMAN Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	1	12	12	12	0	0	0	7	10	6	0	0	0	7	10	6	0	0	0	7	10	6	31.3	31.3	31.3	57.936	531	531	0	217.16	0	0	0	20.9	28.2	16.4	38295000	0	0	0	4140100	22510000	11644000	0	0	0	1104800	1714800	1680400	0	0	0	8	10	6	24				194	53;314;315;462;498;513;514;1115;1185;1324;1490;1720	True;True;True;True;True;True;True;True;True;True;True;True	54;320;321;469;507;522;523;1137;1207;1348;1517;1750	83;84;85;500;501;502;503;504;718;771;772;790;791;792;793;1734;1835;1836;2038;2287;2288;2289;2640;2641	85;86;87;518;519;520;521;522;744;797;798;816;817;818;819;1800;1904;1905;2113;2368;2369;2370;2738;2739;2740	86;520;521;744;798;818;819;1800;1905;2113;2370;2740	52;53	239;291
sp|P14625|ENPL_HUMAN;sp|Q58FF3|ENPLL_HUMAN	sp|P14625|ENPL_HUMAN	7;1	5;1	5;1	0		0		0		0		0		0		0		sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	2	7	5	5	0	0	0	3	4	3	0	0	0	3	2	2	0	0	0	3	2	2	8.1	6.4	6.4	92.468	803	803;399	0	31.434	0	0	0	4.1	4	4.2	1261100	0	0	0	674690	428860	157550	0	0	0	112180	0	0	0	0	0	3	2	2	7				195	316;384;385;425;911;1011;1650	True;False;False;True;True;True;True	322;391;392;432;930;1031;1678	505;599;600;601;658;1431;1580;1581;1582;2525	523;618;619;620;680;1491;1645;1646;1647;2616	523;618;619;680;1491;1645;2616		
sp|P14635|CCNB1_HUMAN	sp|P14635|CCNB1_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P14635|CCNB1_HUMAN G2/mitotic-specific cyclin-B1 OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	3	3	48.337	433	433	0	6.2408	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1				196	676	True	687	1030	1061	1061		
sp|P63162|RSMN_HUMAN;sp|P14678|RSMB_HUMAN	sp|P63162|RSMN_HUMAN;sp|P14678|RSMB_HUMAN	3;3	3;3	3;3	0		0		0		0		0		0		0		sp|P63162|RSMN_HUMAN Small nuclear ribonucleoprotein-associated protein N OS=Homo sapiens OX=9606 GN=SNRPN PE=1 SV=1;sp|P14678|RSMB_HUMAN Small nuclear ribonucleoprotein-associated proteins B and B OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2	2	3	3	3	0	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	2	2	6.7	6.7	6.7	24.614	240	240;240	0	19.613	0	0	0	0	3.8	6.2	747910	0	0	0	0	630310	117600	0	0	0	0	0	18773	0	0	0	0	2	2	4				197	668;1358;1700	True;True;True	679;1383;1730	1017;2081;2604;2605	1048;2157;2700;2701	1048;2157;2700		
sp|P14868|SYDC_HUMAN	sp|P14868|SYDC_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P14868|SYDC_HUMAN Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	3	3	3	57.136	501	501	0	20.664	0	0	0	0	3	3	370550	0	0	0	0	187140	183400	0	0	0	0	0	29277	0	0	0	0	1	1	2				198	684	True	695	1044;1045	1075;1076	1075		
sp|P14923|PLAK_HUMAN	sp|P14923|PLAK_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P14923|PLAK_HUMAN Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3	1	2	2	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	2.1	2.1	2.1	81.744	745	745	0	11.278	0	0	0	0	2.1	0	159130	0	0	0	0	159130	0	0	0	0	0	13805	0	0	0	0	0	2	0	2				199	830;1057	True;True	844;1077	1287;1659	1337;1724	1337;1724		
sp|P15121|ALDR_HUMAN	sp|P15121|ALDR_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P15121|ALDR_HUMAN Aldo-keto reductase family 1 member B1 OS=Homo sapiens OX=9606 GN=AKR1B1 PE=1 SV=3	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	5.7	5.7	5.7	35.853	316	316	0	8.6223	0	0	0	5.7	5.7	0	841400	0	0	0	275830	565570	0	0	0	0	0	49066	0	0	0	0	1	1	0	2				200	1818	True	1851	2796;2797	2897;2898	2898		
sp|P15170|ERF3A_HUMAN;sp|Q8IYD1|ERF3B_HUMAN	sp|P15170|ERF3A_HUMAN;sp|Q8IYD1|ERF3B_HUMAN	2;2	2;2	2;2	0		0		0		0		0		0		0		sp|P15170|ERF3A_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1;sp|Q8IYD1|ERF3B_HUMAN Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Homo sapiens OX=9606 GN=GSPT2 PE=1	2	2	2	2	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	3.8	3.8	3.8	55.755	499	499;628	0	11.655	0	0	0	2.2	1.6	0	170550	0	0	0	0	170550	0	0	0	0	0	14796	0	0	0	0	1	1	0	2				201	1228;1485	True;True	1250;1512	1892;2280	1962;2361	1962;2361		
sp|P15311|EZRI_HUMAN	sp|P15311|EZRI_HUMAN	6	3	3	0		0		0		0		0		0		0		sp|P15311|EZRI_HUMAN Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4	1	6	3	3	0	0	0	2	4	2	0	0	0	2	2	1	0	0	0	2	2	1	9.4	5.1	5.1	69.412	586	586	0	20.027	0	0	0	3.8	6.8	3.9	1675800	0	0	0	858800	663040	154000	0	0	0	0	57522	0	0	0	0	2	2	1	5				202	115;390;892;1262;1438;1736	False;True;False;False;True;True	118;397;911;1284;1464;1766	190;608;1396;1949;2203;2204;2205;2666	192;628;1453;2019;2283;2284;2285;2765	192;628;1453;2019;2283;2765		
sp|P15531|NDKA_HUMAN	sp|P15531|NDKA_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P15531|NDKA_HUMAN Nucleoside diphosphate kinase A OS=Homo sapiens OX=9606 GN=NME1 PE=1 SV=1	1	3	3	3	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	20.4	20.4	20.4	17.149	152	152	0	19.02	0	0	0	6.6	15.8	4.6	56110	0	0	0	0	0	56110	0	0	0	0	0	8957	0	0	0	1	2	1	4				203	284;360;1145	True;True;True	290;366;1167	453;454;566;1774	471;472;585;1842	471;585;1842		
sp|P15559|NQO1_HUMAN	sp|P15559|NQO1_HUMAN	2	2	2	0		0		0		0		0		0		0		sp|P15559|NQO1_HUMAN NAD(P)H dehydrogenase [quinone] 1 OS=Homo sapiens OX=9606 GN=NQO1 PE=1 SV=1	1	2	2	2	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	7.7	7.7	7.7	30.867	274	274	0	13.349	0	0	0	2.9	7.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3				204	351;740	True;True	357;753	552;1145;1146	571;1190;1191	571;1190		
sp|P15880|RS2_HUMAN	sp|P15880|RS2_HUMAN	3	3	3	0		0		0		0		0		0		0		sp|P15880|RS2_HUMAN 40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2	1	3	3	3	0	0	0	2	2	1	0	0	0	2	2	1	0	0	0	2	2	1	12.3	12.3	12.3	31.324	293	293	0	27.702	0	0	0	6.5	8.2	5.8	2260900	0	0	0	536470	1724400	0	0	0	0	0	149600	0	0	0	0	1	2	1	4				205	45;1008;1437	True;True;True	45;1028;1463	66;67;1576;1577;2202	68;69;1641;1642;2282	68;1641;2282		
sp|P16070|CD44_HUMAN	sp|P16070|CD44_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P16070|CD44_HUMAN CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1.6	1.6	1.6	81.537	742	742	0	7.093	0	0	0	1.6	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2				206	1808	True	1840	2779;2780	2880;2881	2880		
sp|P16152|CBR1_HUMAN	sp|P16152|CBR1_HUMAN	2	2	1	0		0		0		0		0		0		0		sp|P16152|CBR1_HUMAN Carbonyl reductase [NADPH] 1 OS=Homo sapiens OX=9606 GN=CBR1 PE=1 SV=3	1	2	2	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	8.7	8.7	2.9	30.375	277	277	0	12.829	0	0	0	8.7	0	0	74681	0	0	0	74681	0	0	0	0	0	12418	0	0	0	0	0	2	0	0	2				207	535;573	True;True	544;584	821;878	847;907	847;907		
sp|P16615|AT2A2_HUMAN	sp|P16615|AT2A2_HUMAN	1	1	1	0		0		0		0		0		0		0		sp|P16615|AT2A2_HUMAN Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.9	0.9	0.9	114.76	1042	1042	0.0080386	5.8339	0	0	0	0	0.9	0	58137	0	0	0	0	58137	0	0	0	0	0	5043.6	0	0	0	0	0	1	0	1				208	107	True	110	180	182	182		
